ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_N_100000__F_100001;N_100000__F_100001?;Boolean;false | true;;"if (d_N_100000__F_100001) {
d_N_100300__F_100301 = true;
}
if (d_N_100000__F_100001) {
d_N_100000__F_100467 = true;
}
if (d_N_100000__F_100001) {
d_N_100002__F_100003 = true;
}
if (d_N_100000__F_100001) {
d_N_100353__F_100354 = true;
}
if (d_N_100000__F_100001) {
d_N_100130__F_100131 = true;
}
";true
d_N_100002__F_100003;N_100002__F_100003?;Boolean;false | true;;"if (d_N_100002__F_100003) {
d_N_100002__F_100113 = true;
}
if (d_N_100002__F_100003) {
d_N_100002__F_100012 = true;
}
if (d_N_100002__F_100003) {
d_N_100002__F_100106 = true;
}
";(false && d_N_100000__F_100001)
d_N_100002__F_100004;N_100002__F_100004?;Boolean;false | true;;"if !d_N_100002__F_100004 {
d_N_100002__F_100004_0 = None;
}
if !d_N_100002__F_100004 {
allow(d_N_100002__F_100004_0.None);
}
if (d_N_100002__F_100004) {
disAllow(d_N_100002__F_100004_0.None);
}
";d_N_100002__F_100003
d_N_100002__F_100004_0;Choose your N_100002__F_100004?;Enumeration;None | N_100002__F_100005 | N_100002__F_100011 | N_100002__F_100010 | N_100002__F_100008 | N_100002__F_100007 | N_100002__F_100009;1:1;"if !d_N_100002__F_100004_0.N_100002__F_100011 {
d_N_100002__F_100011 = false;
}
if !d_N_100002__F_100004_0.N_100002__F_100009 {
d_N_100002__F_100009 = false;
}
if d_N_100002__F_100004_0.N_100002__F_100009 {
d_N_100002__F_100009 = true;
}
if d_N_100002__F_100004_0.N_100002__F_100011 {
d_N_100002__F_100011 = true;
}
if d_N_100002__F_100004_0.N_100002__F_100008 {
d_N_100002__F_100008 = true;
}
if !d_N_100002__F_100004_0.N_100002__F_100008 {
d_N_100002__F_100008 = false;
}
if !d_N_100002__F_100004_0.N_100002__F_100010 {
d_N_100002__F_100010 = false;
}
if d_N_100002__F_100004_0.N_100002__F_100010 {
d_N_100002__F_100010 = true;
}
if !d_N_100002__F_100004_0.N_100002__F_100005 {
d_N_100002__F_100005 = false;
}
if d_N_100002__F_100004_0.N_100002__F_100005 {
d_N_100002__F_100005 = true;
}
if !d_N_100002__F_100004_0.N_100002__F_100007 {
d_N_100002__F_100007 = false;
}
if d_N_100002__F_100004_0.N_100002__F_100007 {
d_N_100002__F_100007 = true;
}
";d_N_100002__F_100004
d_N_100002__F_100005;N_100002__F_100005?;Boolean;false | true;;"if (d_N_100002__F_100005) {
d_N_100002__F_100106_0 = N_100002__F_100107;
}
if (d_N_100002__F_100005) {
d_N_100002__F_100014_xor_0 = N_100002__F_100015;
}
if (d_N_100002__F_100005) {
d_N_100002__F_100012_0 = N_100002__F_100013;
}
";false
d_N_100002__F_100006;N_100002__F_100006?;Boolean;false | true;;"if (d_N_100002__F_100006) {
d_N_100002__F_100111 = true;
}
";d_N_100002__F_100005
d_N_100002__F_100007;N_100002__F_100007?;Boolean;false | true;;"if (d_N_100002__F_100007) {
d_N_100002__F_100014_xor_0 = N_100002__F_100015;
}
if (d_N_100002__F_100007) {
d_N_100002__F_100012_0 = N_100002__F_100013;
}
if (d_N_100002__F_100007) {
d_N_100002__F_100106_0 = N_100002__F_100108;
}
";false
d_N_100002__F_100008;N_100002__F_100008?;Boolean;false | true;;"if (d_N_100002__F_100008) {
d_N_100002__F_100012_0 = N_100002__F_100013;
}
if (d_N_100002__F_100008) {
d_N_100002__F_100014_xor_0 = N_100002__F_100016;
}
if (d_N_100002__F_100008) {
d_N_100002__F_100106_0 = N_100002__F_100107;
}
";false
d_N_100002__F_100009;N_100002__F_100009?;Boolean;false | true;;"if (d_N_100002__F_100009) {
d_N_100002__F_100012_0 = N_100002__F_100013;
}
if (d_N_100002__F_100009) {
d_N_100002__F_100014_xor_0 = N_100002__F_100016;
}
if (d_N_100002__F_100009) {
d_N_100002__F_100106_0 = N_100002__F_100108;
}
";false
d_N_100002__F_100010;N_100002__F_100010?;Boolean;false | true;;"if (d_N_100002__F_100010) {
d_N_100002__F_100106_0 = N_100002__F_100109;
}
";false
d_N_100002__F_100011;N_100002__F_100011?;Boolean;false | true;;;false
d_N_100002__F_100012;N_100002__F_100012?;Boolean;false | true;;;(false && d_N_100002__F_100003)
