ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_BerkeleyDb;BerkeleyDb?;Boolean;false | true;;"if (d_BerkeleyDb) {
d_BerkeleyDB = true;
}
";true
d_BerkeleyDB;BerkeleyDB?;Boolean;false | true;;"if (d_BerkeleyDB) {
d_FBtree = true;
}
if (d_BerkeleyDB) {
d_BASE = true;
}
if (d_BerkeleyDB) {
d_FPersistency = true;
}
";(false && d_BerkeleyDb)
d_FLogging;FLogging?;Boolean;false | true;;"if (d_FLogging) {
d_Logging = true;
}
";d_BerkeleyDB
d_Logging;Logging?;Boolean;false | true;;"if (d_Logging) {
d_featureLoggingBase = true;
}
";(false && d_FLogging)
d_featureLoggingFile;featureLoggingFile?;Boolean;false | true;;;d_Logging
d_featureLoggingConsole;featureLoggingConsole?;Boolean;false | true;;;d_Logging
d_featureLoggingDbLog;featureLoggingDbLog?;Boolean;false | true;;;d_Logging
d_featureLoggingFinest;featureLoggingFinest?;Boolean;false | true;;"if (d_featureLoggingFinest) {
d_FConcurrency_0 = featureTransaction;
}
";d_Logging
d_featureLoggingFiner;featureLoggingFiner?;Boolean;false | true;;;d_Logging
d_featureLoggingFine;featureLoggingFine?;Boolean;false | true;;"if (d_featureLoggingFine) {
d_featureEvictor = true;
}
if (d_featureLoggingFine) {
d_featureINCompressor = true;
}
if (d_featureLoggingFine) {
d_FConcurrency_0 = dummyFeatureLocking;
}
";d_Logging
d_featureLoggingInfo;featureLoggingInfo?;Boolean;false | true;;"if (d_featureLoggingInfo) {
d_featureMemoryBudget = true;
}
if (d_featureLoggingInfo) {
d_FPersistencyFeatures_0 = featureChecksum;
}
";d_Logging
d_featureLoggingConfig;featureLoggingConfig?;Boolean;false | true;;;d_Logging
d_featureLoggingSevere;featureLoggingSevere?;Boolean;false | true;;"if (d_featureLoggingSevere) {
d_FPersistencyFeatures_0 = featureEnvironmentLock;
}
";d_Logging
d_featureLoggingBase;featureLoggingBase?;Boolean;false | true;;"if (d_featureLoggingBase) {
d_FConcurrency_0 = featureTransaction;
}
";(false && d_Logging)
d_FPersistency;FPersistency?;Boolean;false | true;;"if (d_FPersistency) {
d_Persistency = true;
}
";(false && d_BerkeleyDB)
d_Persistency;Persistency?;Boolean;false | true;;"if (d_Persistency) {
d_FIOFeature = true;
}
";(false && d_FPersistency)
d_FPersistencyFeatures;FPersistencyFeatures?;Boolean;false | true;;"if !d_FPersistencyFeatures {
d_FPersistencyFeatures_0 = None;
}
if !d_FPersistencyFeatures {
allow(d_FPersistencyFeatures_0.None);
}
if (d_FPersistencyFeatures) {
disAllow(d_FPersistencyFeatures_0.None);
}
";d_Persistency
