ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_BigDataSystem;BigDataSystem?;Boolean;false | true;;"if (d_BigDataSystem) {
d_Infraestructure = true;
}
if (d_BigDataSystem) {
d_Services_2 = true;
}
";true
d_Infraestructure;Infraestructure?;Boolean;false | true;;"if (d_Infraestructure) {
d_Network = true;
}
if (d_Infraestructure) {
d_Data = true;
}
if (d_Infraestructure) {
d_Storage = true;
}
";(false && d_BigDataSystem)
d_Network;Network?;Boolean;false | true;;"if (d_Network) {
d_Cable = true;
}
";(false && d_Infraestructure)
d_Cable;Cable?;Boolean;false | true;;;(false && d_Network)
d_Wireless;Wireless?;Boolean;false | true;;;d_Network
d_Storage;Storage?;Boolean;false | true;;"if (d_Storage) {
d_Networkattachstorage = true;
}
";(false && d_Infraestructure)
d_Networkattachstorage;Networkattachstorage?;Boolean;false | true;;;(false && d_Storage)
d_Directattachstorage;Directattachstorage?;Boolean;false | true;;;d_Storage
d_Cloud;Cloud?;Boolean;false | true;;"if (d_Cloud) {
d_Processing = true;
}
if (d_Cloud) {
d_Architecture = true;
}
if (d_Cloud) {
d_Type = true;
}
if (d_Cloud) {
d_Storage_1 = true;
}
if (d_Cloud) {
d_Intelligence = true;
}
";d_Storage
d_Architecture;Architecture?;Boolean;false | true;;;(false && d_Cloud)
d_Architecture_0;Choose your Architecture?;Enumeration;Kappa | Batch | Lambda;1:1;"if d_Architecture_0.Lambda {
d_Lambda = true;
}
if !d_Architecture_0.Lambda {
d_Lambda = false;
}
if !d_Architecture_0.Kappa {
d_Kappa = false;
}
if !d_Architecture_0.Batch {
d_Batch = false;
}
if d_Architecture_0.Kappa {
d_Kappa = true;
}
if d_Architecture_0.Batch {
d_Batch = true;
}
";d_Architecture
d_Lambda;Lambda?;Boolean;false | true;;"if (d_Lambda) {
d_Batchlayer = true;
}
if (d_Lambda) {
d_Speedlayer = true;
}
if (d_Lambda) {
d_Servinglayer = true;
}
";false
d_Batchlayer;Batchlayer?;Boolean;false | true;;;(false && d_Lambda)
d_Servinglayer;Servinglayer?;Boolean;false | true;;;(false && d_Lambda)
d_Speedlayer;Speedlayer?;Boolean;false | true;;;(false && d_Lambda)
d_Kappa;Kappa?;Boolean;false | true;;"if (d_Kappa) {
d_Servinglayer_1 = true;
}
if (d_Kappa) {
d_Realtimelayer = true;
}
";false
d_Realtimelayer;Realtimelayer?;Boolean;false | true;;;(false && d_Kappa)
d_Servinglayer_1;Servinglayer_1?;Boolean;false | true;;;(false && d_Kappa)
d_Batch;Batch?;Boolean;false | true;;;false
d_Type;Type?;Boolean;false | true;;;(false && d_Cloud)
d_Type_0;Choose your Type?;Enumeration;Convergedpre_integratedsystems | Softwaresolution | Public | Opensource | Managedprivatecloud | Hybrid;1:1;"if d_Type_0.Public {
d_Public = true;
}
if !d_Type_0.Opensource {
d_Opensource = false;
}
if !d_Type_0.Public {
d_Public = false;
}
if d_Type_0.Convergedpre_integratedsystems {
d_Convergedpre_integratedsystems = true;
}
if !d_Type_0.Convergedpre_integratedsystems {
d_Convergedpre_integratedsystems = false;
}
if d_Type_0.Managedprivatecloud {
d_Managedprivatecloud = true;
}
if !d_Type_0.Softwaresolution {
d_Softwaresolution = false;
}
if d_Type_0.Softwaresolution {
d_Softwaresolution = true;
}
if !d_Type_0.Managedprivatecloud {
d_Managedprivatecloud = false;
}
if d_Type_0.Hybrid {
d_Hybrid = true;
}
if d_Type_0.Opensource {
d_Opensource = true;
}
if !d_Type_0.Hybrid {
d_Hybrid = false;
}
";d_Type
d_Softwaresolution;Softwaresolution?;Boolean;false | true;;;false
d_CAtechnologies;CAtechnologies?;Boolean;false | true;;;d_Softwaresolution
d_Cisco;Cisco?;Boolean;false | true;;;d_Softwaresolution
d_Dell;Dell?;Boolean;false | true;;;d_Softwaresolution
d_IBM;IBM?;Boolean;false | true;;;d_Softwaresolution
d_Redhat;Redhat?;Boolean;false | true;;;d_Softwaresolution
d_VMWare;VMWare?;Boolean;false | true;;;d_Softwaresolution
d_Oracle;Oracle?;Boolean;false | true;;;d_Softwaresolution
d_Microsoft;Microsoft?;Boolean;false | true;;;d_Softwaresolution
d_Convergedpre_integratedsystems;Convergedpre_integratedsystems?;Boolean;false | true;;;false
d_BMC;BMC?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_Cisco_1;Cisco_1?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_CSC;CSC?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_Dell_1;Dell_1?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_IBM_1;IBM_1?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_Microsoft_1;Microsoft_1?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_NetApp;NetApp?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_Oracle_1;Oracle_1?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_VCE;VCE?;Boolean;false | true;;;d_Convergedpre_integratedsystems
d_Managedprivatecloud;Managedprivatecloud?;Boolean;false | true;;;false
d_Citrix;Citrix?;Boolean;false | true;;;d_Managedprivatecloud
d_Cisco_2;Cisco_2?;Boolean;false | true;;;d_Managedprivatecloud
d_CSC_1;CSC_1?;Boolean;false | true;;;d_Managedprivatecloud
d_Dell_2;Dell_2?;Boolean;false | true;;;d_Managedprivatecloud
d_EMC;EMC?;Boolean;false | true;;;d_Managedprivatecloud
d_IBMmirantis;IBMmirantis?;Boolean;false | true;;;d_Managedprivatecloud
d_Opensource;Opensource?;Boolean;false | true;;;false
d_Openstack;Openstack?;Boolean;false | true;;;d_Opensource
d_Apachecloudstack;Apachecloudstack?;Boolean;false | true;;;d_Opensource
d_Public;Public?;Boolean;false | true;;;false
d_MicrosoftAzure;MicrosoftAzure?;Boolean;false | true;;;d_Public
d_Googlecloud;Googlecloud?;Boolean;false | true;;;d_Public
d_Oraclecloud;Oraclecloud?;Boolean;false | true;;;d_Public
d_AWS;AWS?;Boolean;false | true;;;d_Public
d_Hybrid;Hybrid?;Boolean;false | true;;;false
d_OpenStack;OpenStack?;Boolean;false | true;;"if (d_OpenStack) {
d_OpenStackpubliccloudpassport = true;
}
";d_Hybrid
d_OpenStackpubliccloudpassport;OpenStackpubliccloudpassport?;Boolean;false | true;;;(false && d_OpenStack)
d_AWS_1;AWS_1?;Boolean;false | true;;"if (d_AWS_1) {
d_Directconnect = true;
}
";d_Hybrid
d_Directconnect;Directconnect?;Boolean;false | true;;;(false && d_AWS_1)
d_Microsoftazure;Microsoftazure?;Boolean;false | true;;"if (d_Microsoftazure) {
d_Expressroute = true;
}
";d_Hybrid
d_Expressroute;Expressroute?;Boolean;false | true;;;(false && d_Microsoftazure)
d_Googlecloud_1;Googlecloud_1?;Boolean;false | true;;"if (d_Googlecloud_1) {
d_Dedicatedinterconnection = true;
}
";d_Hybrid
d_Dedicatedinterconnection;Dedicatedinterconnection?;Boolean;false | true;;;(false && d_Googlecloud_1)
d_Storage_1;Storage_1?;Boolean;false | true;;;(false && d_Cloud)
d_Storage_1_0;Choose your Storage_1?;Enumeration;AWS_2 | Microsoftazure_1 | Googlecloud_2;1:1;"if !d_Storage_1_0.AWS_2 {
d_AWS_2 = false;
}
if d_Storage_1_0.Microsoftazure_1 {
d_Microsoftazure_1 = true;
}
if !d_Storage_1_0.Microsoftazure_1 {
d_Microsoftazure_1 = false;
}
if d_Storage_1_0.AWS_2 {
d_AWS_2 = true;
}
if d_Storage_1_0.Googlecloud_2 {
d_Googlecloud_2 = true;
}
if !d_Storage_1_0.Googlecloud_2 {
d_Googlecloud_2 = false;
}
";d_Storage_1
d_AWS_2;AWS_2?;Boolean;false | true;;"if !d_AWS_2 {
d_AWS_2_0 = None;
}
if !d_AWS_2 {
allow(d_AWS_2_0.None);
}
if (d_AWS_2) {
disAllow(d_AWS_2_0.None);
}
";false
d_AWS_2_0;Choose your AWS_2?;Enumeration;None | DynamoDB | RedShift | S3;1:1;"if d_AWS_2_0.RedShift {
d_RedShift = true;
}
if !d_AWS_2_0.DynamoDB {
d_DynamoDB = false;
}
if d_AWS_2_0.DynamoDB {
d_DynamoDB = true;
}
if !d_AWS_2_0.S3 {
d_S3 = false;
}
if !d_AWS_2_0.RedShift {
d_RedShift = false;
}
if d_AWS_2_0.S3 {
d_S3 = true;
}
";d_AWS_2
d_DynamoDB;DynamoDB?;Boolean;false | true;;;false
d_RedShift;RedShift?;Boolean;false | true;;;false
d_S3;S3?;Boolean;false | true;;;false
d_Microsoftazure_1;Microsoftazure_1?;Boolean;false | true;;"if (d_Microsoftazure_1) {
disAllow(d_Microsoftazure_1_0.None);
}
if !d_Microsoftazure_1 {
d_Microsoftazure_1_0 = None;
}
if !d_Microsoftazure_1 {
allow(d_Microsoftazure_1_0.None);
}
";false
