ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_Eclipse;Eclipse?;Boolean;false | true;;;true
d_JDT;JDT?;Boolean;false | true;;;d_Eclipse
d_CDT;CDT?;Boolean;false | true;;;d_Eclipse
d_AJDT;AJDT?;Boolean;false | true;;;d_Eclipse
d_FeatureModeling;FeatureModeling?;Boolean;false | true;;;d_Eclipse
d_CIDE;CIDE?;Boolean;false | true;;;d_FeatureModeling
d_FAMILIAR;FAMILIAR?;Boolean;false | true;;;d_FeatureModeling
d_FeatureIDE;FeatureIDE?;Boolean;false | true;;"if (d_FeatureIDE) {
disAllow(d_FeatureIDE_0.None);
}
if !d_FeatureIDE {
d_FeatureIDE_0 = None;
}
if !d_FeatureIDE {
allow(d_FeatureIDE_0.None);
}
";d_FeatureModeling
d_FeatureIDE_0;Choose your FeatureIDE?;Enumeration;Munge | FeatureHouse | None | DeltaMontiArc | AHEAD | FeatureCpp | DeltaJ | AspectJ | Antenna;1:8;"if d_FeatureIDE_0.Munge {
d_Munge = true;
}
if d_FeatureIDE_0.Antenna {
d_Antenna = true;
}
if d_FeatureIDE_0.AspectJ {
d_AspectJ = true;
}
if d_FeatureIDE_0.FeatureCpp {
d_FeatureCpp = true;
}
if d_FeatureIDE_0.DeltaJ {
d_DeltaJ = true;
}
if d_FeatureIDE_0.DeltaMontiArc {
d_DeltaMontiArc = true;
}
if d_FeatureIDE_0.FeatureHouse {
d_FeatureHouse = true;
}
if d_FeatureIDE_0.AHEAD {
d_AHEAD = true;
}
";d_FeatureIDE
d_AHEAD;AHEAD?;Boolean;false | true;;"if (d_AHEAD) {
d_JDT = true;
}
";false
d_FeatureHouse;FeatureHouse?;Boolean;false | true;;"if (d_FeatureHouse) {
d_JDT = true;
}
";false
d_FeatureCpp;FeatureCpp?;Boolean;false | true;;"if (d_FeatureCpp) {
d_CDT = true;
}
";false
d_DeltaJ;DeltaJ?;Boolean;false | true;;"if (d_DeltaJ) {
d_DeltaJEclipsePlugin = true;
}
";false
d_AspectJ;AspectJ?;Boolean;false | true;;"if (d_AspectJ) {
d_AJDT = true;
}
";false
d_Munge;Munge?;Boolean;false | true;;"if (d_Munge) {
d_JDT = true;
}
";false
d_Antenna;Antenna?;Boolean;false | true;;"if (d_Antenna) {
d_JDT = true;
}
";false
d_DeltaMontiArc;DeltaMontiArc?;Boolean;false | true;;;false
d_ExtendedFM;ExtendedFM?;Boolean;false | true;;;d_FeatureModeling
d_MoSoPoLiTe;MoSoPoLiTe?;Boolean;false | true;;;d_FeatureModeling
d_DeltaJEclipsePlugin;DeltaJEclipsePlugin?;Boolean;false | true;;;d_Eclipse
