ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_GPL;GPL?;Boolean;false | true;;"if (d_GPL) {
d_MainGpl = true;
}
";true
d_MainGpl;MainGpl?;Boolean;false | true;;"if (d_MainGpl) {
d_TestProg = true;
}
if (d_MainGpl) {
d_Wgt = true;
}
if (d_MainGpl) {
d_Base = true;
}
if (d_MainGpl) {
d_HiddenWgt = true;
}
if (d_MainGpl) {
d_Gtp = true;
}
if (d_MainGpl) {
d_Implementation = true;
}
if (d_MainGpl) {
d_Alg = true;
}
if (d_MainGpl) {
d_HiddenGtp = true;
}
";(false && d_GPL)
d_TestProg;TestProg?;Boolean;false | true;;;(false && d_MainGpl)
d_Alg;Alg?;Boolean;false | true;;;(false && d_MainGpl)
d_Alg_0;Choose your Alg?;Enumeration;Connected | MSTPrim | Number | StrongC | Cycle | MSTKruskal;1:6;"if d_Alg_0.Number {
d_Number = true;
}
if d_Alg_0.MSTPrim {
d_MSTPrim = true;
}
if d_Alg_0.StrongC {
d_StrongC = true;
}
if d_Alg_0.MSTKruskal {
d_MSTKruskal = true;
}
if d_Alg_0.Connected {
d_Connected = true;
}
if d_Alg_0.Cycle {
d_Cycle = true;
}
";d_Alg
d_Number;Number?;Boolean;false | true;;"if (d_Number) {
disAllow(d_Src_0.None);
}
if !d_Number {
allow(d_Src_0.None);
}
";false
d_Connected;Connected?;Boolean;false | true;;"if (d_Connected) {
disAllow(d_Src_0.None);
}
if !d_Connected {
allow(d_Src_0.None);
}
if (d_Connected) {
d_Gtp_0 = Undirected;
}
";false
d_StrongC;StrongC?;Boolean;false | true;;"if (d_StrongC) {
d_Gtp_0 = Directed;
}
if (d_StrongC) {
d_StronglyConnected = true;
}
if (d_StrongC) {
d_Src_0 = DFS;
}
if (d_StrongC) {
d_Transpose = true;
}
";false
d_Transpose;Transpose?;Boolean;false | true;;;(false && d_StrongC)
d_StronglyConnected;StronglyConnected?;Boolean;false | true;;;(false && d_StrongC)
d_Cycle;Cycle?;Boolean;false | true;;"if (d_Cycle) {
d_Src_0 = DFS;
}
";false
d_MSTPrim;MSTPrim?;Boolean;false | true;;"if !d_MSTPrim {
allow(d_Alg_0.MSTKruskal);
}
if (d_MSTPrim) {
d_Wgt_0 = Weighted;
}
if (d_MSTPrim) {
d_Gtp_0 = Undirected;
}
if (d_MSTPrim) {
disAllow(d_Alg_0.MSTKruskal);
}
";false
d_MSTKruskal;MSTKruskal?;Boolean;false | true;;"if (d_MSTKruskal) {
disAllow(d_Alg_0.MSTPrim);
}
if !d_MSTKruskal {
allow(d_Alg_0.MSTPrim);
}
if (d_MSTKruskal) {
d_Gtp_0 = Undirected;
}
if (d_MSTKruskal) {
d_Wgt_0 = Weighted;
}
";false
d_Src;Src?;Boolean;false | true;;"if !d_Src {
d_Src_0 = None;
}
if !d_Src {
allow(d_Src_0.None);
}
if (d_Src) {
disAllow(d_Src_0.None);
}
";d_MainGpl
