ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_GPL;GPL?;Boolean;false | true;;"if (d_GPL) {
d_MainGpl = true;
}
";true
d_MainGpl;MainGpl?;Boolean;false | true;;"if (d_MainGpl) {
d_Wgt = true;
}
if (d_MainGpl) {
d_Driver = true;
}
if (d_MainGpl) {
d_Gtp = true;
}
if (d_MainGpl) {
d_Alg = true;
}
";(false && d_GPL)
d_Driver;Driver?;Boolean;false | true;;"if (d_Driver) {
d_DriverProg = true;
}
";(false && d_MainGpl)
d_DriverProg;DriverProg?;Boolean;false | true;;"if (d_DriverProg) {
d_Benchmark = true;
}
if (d_DriverProg) {
d_Prog = true;
}
";(false && d_Driver)
d_Prog;Prog?;Boolean;false | true;;;(false && d_DriverProg)
d_Benchmark;Benchmark?;Boolean;false | true;;;(false && d_DriverProg)
d_Alg;Alg?;Boolean;false | true;;;(false && d_MainGpl)
d_Alg_0;Choose your Alg?;Enumeration;Connected | MSTPrim | Number | StrongConnect | ShortestPath | Cycle | MSTKruskal;1:7;"if d_Alg_0.MSTKruskal {
d_MSTKruskal = true;
}
if d_Alg_0.StrongConnect {
d_StrongConnect = true;
}
if d_Alg_0.MSTPrim {
d_MSTPrim = true;
}
if d_Alg_0.ShortestPath {
d_ShortestPath = true;
}
if d_Alg_0.Connected {
d_Connected = true;
}
if d_Alg_0.Cycle {
d_Cycle = true;
}
if d_Alg_0.Number {
d_Number = true;
}
";d_Alg
d_Number;Number?;Boolean;false | true;;"if (d_Number) {
disAllow(d_Src_0.None);
}
if !d_Number {
allow(d_Src_0.None);
}
";false
d_Connected;Connected?;Boolean;false | true;;"if (d_Connected) {
disAllow(d_Src_0.None);
}
if !d_Connected {
allow(d_Src_0.None);
}
if (d_Connected) {
d_Gtp_0 = Undirected;
}
";false
d_StrongConnect;StrongConnect?;Boolean;false | true;;"if (d_StrongConnect) {
d_Src_0 = DFS;
}
if (d_StrongConnect) {
d_Gtp_0 = Directed;
}
if (d_StrongConnect) {
d_StronglyConnected = true;
}
if (d_StrongConnect) {
d_Transpose = true;
}
";false
d_Transpose;Transpose?;Boolean;false | true;;;(false && d_StrongConnect)
d_StronglyConnected;StronglyConnected?;Boolean;false | true;;;(false && d_StrongConnect)
d_Cycle;Cycle?;Boolean;false | true;;"if (d_Cycle) {
d_Src_0 = DFS;
}
";false
d_MSTPrim;MSTPrim?;Boolean;false | true;;"if !d_MSTPrim {
allow(d_Alg_0.MSTKruskal);
}
if (d_MSTPrim) {
d_Wgt_0 = Weighted;
}
if (d_MSTPrim) {
d_Gtp_0 = Undirected;
}
if (d_MSTPrim) {
disAllow(d_Alg_0.MSTKruskal);
}
";false
d_MSTKruskal;MSTKruskal?;Boolean;false | true;;"if (d_MSTKruskal) {
disAllow(d_Alg_0.MSTPrim);
}
if !d_MSTKruskal {
allow(d_Alg_0.MSTPrim);
}
if (d_MSTKruskal) {
d_Gtp_0 = Undirected;
}
if (d_MSTKruskal) {
d_Wgt_0 = Weighted;
}
";false
d_ShortestPath;ShortestPath?;Boolean;false | true;;"if (d_ShortestPath) {
d_Gtp_0 = Directed;
}
if (d_ShortestPath) {
d_Wgt_0 = Weighted;
}
";false
d_Src;Src?;Boolean;false | true;;"if !d_Src {
d_Src_0 = None;
}
if !d_Src {
allow(d_Src_0.None);
}
if (d_Src) {
disAllow(d_Src_0.None);
}
";d_MainGpl
d_Src_0;Choose your Src?;Enumeration;DFS | None | BFS;1:1;"if d_Src_0.BFS {
d_BFS = true;
}
if !d_Src_0.DFS {
d_DFS = false;
}
if !d_Src_0.BFS {
d_BFS = false;
}
if d_Src_0.DFS {
d_DFS = true;
}
";d_Src
d_BFS;BFS?;Boolean;false | true;;;false
d_DFS;DFS?;Boolean;false | true;;;false
d_Wgt;Wgt?;Boolean;false | true;;;(false && d_MainGpl)
d_Wgt_0;Choose your Wgt?;Enumeration;Weighted | Unweighted;1:1;"if d_Wgt_0.Weighted {
d_Weighted = true;
}
if !d_Wgt_0.Weighted {
d_Weighted = false;
}
if !d_Wgt_0.Unweighted {
d_Unweighted = false;
}
if d_Wgt_0.Unweighted {
d_Unweighted = true;
}
";d_Wgt
d_Weighted;Weighted?;Boolean;false | true;;;false
d_Unweighted;Unweighted?;Boolean;false | true;;;false
d_Gtp;Gtp?;Boolean;false | true;;;(false && d_MainGpl)
d_Gtp_0;Choose your Gtp?;Enumeration;Directed | Undirected;1:1;"if !d_Gtp_0.Directed {
d_Directed = false;
}
if d_Gtp_0.Directed {
d_Directed = true;
}
if !d_Gtp_0.Undirected {
d_Undirected = false;
}
if d_Gtp_0.Undirected {
d_Undirected = true;
}
";d_Gtp
d_Directed;Directed?;Boolean;false | true;;;false
d_Undirected;Undirected?;Boolean;false | true;;;false
