ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_ebay;ebay?;Boolean;false | true;;"if (d_ebay) {
d_Login = true;
}
if (d_ebay) {
d_HelpandSupport = true;
}
if (d_ebay) {
d_Buy = true;
}
if (d_ebay) {
d_Register = true;
}
if (d_ebay) {
d_Shipment = true;
}
if (d_ebay) {
d_Payment = true;
}
if (d_ebay) {
d_Search = true;
}
if (d_ebay) {
d_Unregister = true;
}
if (d_ebay) {
d_Security = true;
}
if (d_ebay) {
d_Logout = true;
}
if (d_ebay) {
d_Notification = true;
}
if (d_ebay) {
d_Compatibility = true;
}
if (d_ebay) {
d_Sell = true;
}
";true
d_Login;Login?;Boolean;false | true;;;(false && d_ebay)
d_Payment;Payment?;Boolean;false | true;;"if (!d_Shipment && !d_Payment) {
d_Sell = false;
}
if (!d_Shipment && !d_Payment) {
d_Buy = false;
}
";(false && d_ebay)
d_Payment_0;Choose your Payment?;Enumeration;PayPal | Escrow | Cheque | PostalOrder | CreditCard;1:5;"if d_Payment_0.PayPal {
d_PayPal = true;
}
if d_Payment_0.Escrow {
d_Escrow = true;
}
if d_Payment_0.PostalOrder {
d_PostalOrder = true;
}
if d_Payment_0.CreditCard {
d_CreditCard = true;
}
if d_Payment_0.Cheque {
d_Cheque = true;
}
";d_Payment
d_CreditCard;CreditCard?;Boolean;false | true;;"if (d_CreditCard) {
d_Security_0 = High;
}
";false
d_PayPal;PayPal?;Boolean;false | true;;;false
d_Cheque;Cheque?;Boolean;false | true;;;false
d_PostalOrder;PostalOrder?;Boolean;false | true;;;false
d_Escrow;Escrow?;Boolean;false | true;;;false
d_Search;Search?;Boolean;false | true;;;(false && d_ebay)
d_Categories;Categories?;Boolean;false | true;;;d_Search
d_Notification;Notification?;Boolean;false | true;;"if (d_Notification) {
d_Login = true;
}
";(false && d_ebay)
d_Shipment;Shipment?;Boolean;false | true;;"if (!d_Shipment && !d_Payment) {
d_Sell = false;
}
if (!d_Shipment && !d_Payment) {
d_Buy = false;
}
";(false && d_ebay)
d_Shipment_0;Choose your Shipment?;Enumeration;Premium | Standard;1:2;"if d_Shipment_0.Standard {
d_Standard = true;
}
if d_Shipment_0.Premium {
d_Premium = true;
}
";d_Shipment
d_Premium;Premium?;Boolean;false | true;;;false
d_Standard;Standard?;Boolean;false | true;;;false
d_Security;Security?;Boolean;false | true;;;(false && d_ebay)
d_Security_0;Choose your Security?;Enumeration;High | Standard_1;1:1;"if d_Security_0.Standard_1 {
d_Standard_1 = true;
}
if !d_Security_0.High {
d_High = false;
}
if d_Security_0.High {
d_High = true;
}
if !d_Security_0.Standard_1 {
d_Standard_1 = false;
}
";d_Security
d_High;High?;Boolean;false | true;;;false
d_Standard_1;Standard_1?;Boolean;false | true;;;false
d_Logout;Logout?;Boolean;false | true;;;(false && d_ebay)
d_Compatibility;Compatibility?;Boolean;false | true;;;(false && d_ebay)
d_Compatibility_0;Choose your Compatibility?;Enumeration;PC | Tablets | Phone;1:3;"if d_Compatibility_0.Tablets {
d_Tablets = true;
}
if d_Compatibility_0.Phone {
d_Phone = true;
}
if d_Compatibility_0.PC {
d_PC = true;
}
";d_Compatibility
d_PC;PC?;Boolean;false | true;;;false
d_Tablets;Tablets?;Boolean;false | true;;"if (d_Tablets) {
disAllow(d_Tablets_0.None);
}
if !d_Tablets {
d_Tablets_0 = None;
}
if !d_Tablets {
allow(d_Tablets_0.None);
}
";false
d_Tablets_0;Choose your Tablets?;Enumeration;Apple | None | Windows | Android;1:3;"if d_Tablets_0.Apple {
d_Apple = true;
}
if d_Tablets_0.Android {
d_Android = true;
}
if d_Tablets_0.Windows {
d_Windows = true;
}
";d_Tablets
d_Windows;Windows?;Boolean;false | true;;;false
d_Apple;Apple?;Boolean;false | true;;;false
d_Android;Android?;Boolean;false | true;;;false
d_Phone;Phone?;Boolean;false | true;;"if !d_Phone {
d_Phone_0 = None;
}
if !d_Phone {
allow(d_Phone_0.None);
}
if (d_Phone) {
disAllow(d_Phone_0.None);
}
";false
d_Phone_0;Choose your Phone?;Enumeration;None | Android_1 | Windows_1 | Apple_1;1:3;"if d_Phone_0.Windows_1 {
d_Windows_1 = true;
}
if d_Phone_0.Apple_1 {
d_Apple_1 = true;
}
if d_Phone_0.Android_1 {
d_Android_1 = true;
}
";d_Phone
d_Windows_1;Windows_1?;Boolean;false | true;;;false
d_Apple_1;Apple_1?;Boolean;false | true;;;false
d_Android_1;Android_1?;Boolean;false | true;;;false
d_Register;Register?;Boolean;false | true;;;(false && d_ebay)
d_Register_0;Choose your Register?;Enumeration;Private | Retailer;1:1;"if d_Register_0.Private {
d_Private = true;
}
if !d_Register_0.Private {
d_Private = false;
}
if d_Register_0.Retailer {
d_Retailer = true;
}
if !d_Register_0.Retailer {
d_Retailer = false;
}
";d_Register
d_Retailer;Retailer?;Boolean;false | true;;;false
d_Private;Private?;Boolean;false | true;;;false
d_Unregister;Unregister?;Boolean;false | true;;;(false && d_ebay)
d_HelpandSupport;HelpandSupport?;Boolean;false | true;;;(false && d_ebay)
d_HelpandSupport_0;Choose your HelpandSupport?;Enumeration;Email | FAQ | Chat | Phone_2;1:4;"if d_HelpandSupport_0.Chat {
d_Chat = true;
}
if d_HelpandSupport_0.FAQ {
d_FAQ = true;
}
if d_HelpandSupport_0.Email {
d_Email = true;
}
if d_HelpandSupport_0.Phone_2 {
d_Phone_2 = true;
}
";d_HelpandSupport
d_Email;Email?;Boolean;false | true;;;false
d_FAQ;FAQ?;Boolean;false | true;;;false
d_Phone_2;Phone_2?;Boolean;false | true;;;false
d_Chat;Chat?;Boolean;false | true;;;false
d_CommunityForum;CommunityForum?;Boolean;false | true;;;d_ebay
d_Sell;Sell?;Boolean;false | true;;"if (d_Sell && d_Buy) {
d_Login = true;
}
";(false && d_ebay)
d_Buy;Buy?;Boolean;false | true;;"if (d_Sell && d_Buy) {
d_Login = true;
}
";(false && d_ebay)
