ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_Onlineshop;Onlineshop?;Boolean;false | true;;"if (d_Onlineshop) {
d_Payment = true;
}
if (d_Onlineshop) {
d_Product Selection = true;
}
";true
d_Payment;Payment?;Boolean;false | true;;;(false && d_Onlineshop)
d_Payment_0;Choose your Payment?;Enumeration;Credit Card | Debit Card;1:1;"if d_Payment_0.Credit Card {
d_Credit Card = true;
}
if !d_Payment_0.Credit Card {
d_Credit Card = false;
}
if d_Payment_0.Debit Card {
d_Debit Card = true;
}
if !d_Payment_0.Debit Card {
d_Debit Card = false;
}
";d_Payment
d_Debit Card;Debit Card?;Boolean;false | true;;;false
d_Credit Card;Credit Card?;Boolean;false | true;;;false
d_Product Selection;Product Selection?;Boolean;false | true;;"if (d_Product Selection) {
d_Catalog = true;
}
";(false && d_Onlineshop)
d_Catalog;Catalog?;Boolean;false | true;;;(false && d_Product Selection)
d_Categories;Categories?;Boolean;false | true;;;d_Catalog
d_Sort;Sort?;Boolean;false | true;;"if !d_Sort {
d_Search = true;
}
";d_Catalog
d_Search;Search?;Boolean;false | true;;"if (d_Search) {
d_UserManagement_0 = Security;
}
if !d_Search {
d_Sort = true;
}
";d_Product Selection
d_UserManagement;UserManagement?;Boolean;false | true;;"if !d_UserManagement {
d_UserManagement_0 = None;
}
if !d_UserManagement {
allow(d_UserManagement_0.None);
}
if (d_UserManagement) {
disAllow(d_UserManagement_0.None);
}
";d_Onlineshop
d_UserManagement_0;Choose your UserManagement?;Enumeration;Orders | None | Security | Payments | Wishlist;1:4;"if d_UserManagement_0.Payments {
d_Payments = true;
}
if d_UserManagement_0.Security {
d_Security = true;
}
if d_UserManagement_0.Wishlist {
d_Wishlist = true;
}
if d_UserManagement_0.Orders {
d_Orders = true;
}
";d_UserManagement
d_Orders;Orders?;Boolean;false | true;;;false
d_Security;Security?;Boolean;false | true;;"if !d_Security {
allow(d_UserManagement_0.Payments);
}
if (d_Security) {
disAllow(d_UserManagement_0.Payments);
}
";false
d_Payments;Payments?;Boolean;false | true;;"if !d_Payments {
allow(d_UserManagement_0.Security);
}
if (d_Payments) {
disAllow(d_UserManagement_0.Security);
}
";false
d_Wishlist;Wishlist?;Boolean;false | true;;;false
