ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_APL;APL?;Boolean;false | true;;"if (d_APL) {
d_mainAPL = true;
}
";true
d_mainAPL;mainAPL?;Boolean;false | true;;"if (d_mainAPL) {
d_Java = true;
}
";(false && d_APL)
d_Java;Java?;Boolean;false | true;;"if (d_Java) {
d_mainJava = true;
}
";(false && d_mainAPL)
d_mainJava;mainJava?;Boolean;false | true;;"if (d_mainJava) {
d_jak2java = true;
}
if (d_mainJava) {
d_bali = true;
}
";(false && d_Java)
d_reform;reform?;Boolean;false | true;;;d_mainJava
d_jedi;jedi?;Boolean;false | true;;;d_mainJava
d_jak2java;jak2java?;Boolean;false | true;;;(false && d_mainJava)
d_bali;bali?;Boolean;false | true;;;(false && d_mainJava)
d_Xml;Xml?;Boolean;false | true;;"if (d_Xml) {
disAllow(d_Xml_0.None);
}
if !d_Xml {
d_Xml_0 = None;
}
if !d_Xml {
allow(d_Xml_0.None);
}
";d_mainAPL
d_Xml_0;Choose your Xml?;Enumeration;xak | None | xc;1:1;"if !d_Xml_0.xc {
d_xc = false;
}
if d_Xml_0.xc {
d_xc = true;
}
if d_Xml_0.xak {
d_xak = true;
}
if !d_Xml_0.xak {
d_xak = false;
}
";d_Xml
d_xc;xc?;Boolean;false | true;;;false
d_xak;xak?;Boolean;false | true;;;false
d_cpp;cpp?;Boolean;false | true;;;d_mainAPL
d_Gui;Gui?;Boolean;false | true;;"if (d_Gui) {
d_mainGUI = true;
}
";d_mainAPL
d_mainGUI;mainGUI?;Boolean;false | true;;;(false && d_Gui)
d_me;me?;Boolean;false | true;;"if (d_me) {
d_mmatrix = true;
}
";d_mainGUI
d_mmatrix;mmatrix?;Boolean;false | true;;;d_mainGUI
d_guidsl;guidsl?;Boolean;false | true;;;d_mainGUI
d_web;web?;Boolean;false | true;;;d_mainGUI
d_drc;drc?;Boolean;false | true;;;d_mainAPL
d_bc;bc?;Boolean;false | true;;"if (d_bc) {
d_mmatrix = true;
}
if (d_bc) {
d_bcjak2java = true;
}
";d_mainAPL
d_bcjak2java;bcjak2java?;Boolean;false | true;;;(false && d_bc)
d_aj;aj?;Boolean;false | true;;"if (d_aj) {
d_jak2aj = true;
}
";d_mainAPL
d_jak2aj;jak2aj?;Boolean;false | true;;;(false && d_aj)
