ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d___Root__;__Root__?;Boolean;false | true;;;true
d_CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS;CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS?;Boolean;false | true;;"if (d_CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS) {
d_CONFIG_IFUPDOWN = true;
}
if (d_CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS) {
d_CONFIG_UDHCPC = true;
}
";d___Root__
d_CONFIG_UDHCPC;CONFIG_UDHCPC?;Boolean;false | true;;"if (d_CONFIG_UDHCPD && d_CONFIG_UDHCPC) {
d_CONFIG_UDHCP_DEBUG = true;
}
if (d_CONFIG_UDHCPC && d_CONFIG_DHCPRELAY) {
d_CONFIG_UDHCP_DEBUG = true;
}
if (d_CONFIG_UDHCPC) {
d_CONFIG_UDHCP_DEBUG = true;
}
if (d_CONFIG_UDHCPC && d_CONFIG_IFUPDOWN) {
d_CONFIG_IFUPDOWN_UDHCPC_CMD_OPTIONS = true;
}
if (!d_CONFIG_UDHCPD && !d_CONFIG_UDHCPC) {
d_CONFIG_FEATURE_UDHCP_PORT = false;
}
if (!d_CONFIG_DHCPRELAY && (!d_CONFIG_UDHCPD && !d_CONFIG_UDHCPC)) {
d_CONFIG_UDHCP_DEBUG = false;
}
if (d_CONFIG_UDHCPC) {
d_CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS = true;
}
if (d_CONFIG_UDHCPC) {
d_CONFIG_UDHCPC_DEFAULT_SCRIPT = true;
}
if (!d_CONFIG_UDHCPD && !d_CONFIG_UDHCPC) {
d_CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS = false;
}
if (d_CONFIG_UDHCPD && d_CONFIG_UDHCPC) {
d_CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS = true;
}
if (!d_CONFIG_UDHCPD && !d_CONFIG_UDHCPC) {
d_CONFIG_FEATURE_UDHCP_RFC3397 = false;
}
";d___Root__
d_CONFIG_FEATURE_WGET_STATUSBAR;CONFIG_FEATURE_WGET_STATUSBAR?;Boolean;false | true;;"if (d_CONFIG_FEATURE_WGET_STATUSBAR) {
d_CONFIG_WGET = true;
}
";d___Root__
d_CONFIG_WGET;CONFIG_WGET?;Boolean;false | true;;;d___Root__
d_CONFIG_FEATURE_FDISK_WRITABLE;CONFIG_FEATURE_FDISK_WRITABLE?;Boolean;false | true;;"if (d_CONFIG_FEATURE_FDISK_WRITABLE) {
d_CONFIG_FDISK = true;
}
";d___Root__
d_CONFIG_FEATURE_OSF_LABEL;CONFIG_FEATURE_OSF_LABEL?;Boolean;false | true;;"if (d_CONFIG_FEATURE_OSF_LABEL) {
d_CONFIG_FDISK = true;
}
if (d_CONFIG_FEATURE_OSF_LABEL) {
d_CONFIG_FEATURE_FDISK_WRITABLE = true;
}
";d___Root__
d_CONFIG_CHAT;CONFIG_CHAT?;Boolean;false | true;;;d___Root__
d_CONFIG_FEATURE_CHAT_SEND_ESCAPES;CONFIG_FEATURE_CHAT_SEND_ESCAPES?;Boolean;false | true;;"if (d_CONFIG_FEATURE_CHAT_SEND_ESCAPES) {
d_CONFIG_CHAT = true;
}
";d___Root__
d_CONFIG_HDPARM;CONFIG_HDPARM?;Boolean;false | true;;;d___Root__
d_CONFIG_FEATURE_HDPARM_HDIO_DRIVE_RESET;CONFIG_FEATURE_HDPARM_HDIO_DRIVE_RESET?;Boolean;false | true;;"if (d_CONFIG_FEATURE_HDPARM_HDIO_DRIVE_RESET) {
d_CONFIG_HDPARM = true;
}
";d___Root__
d_CONFIG_FEATURE_MOUNT_LOOP;CONFIG_FEATURE_MOUNT_LOOP?;Boolean;false | true;;;d___Root__
d_CONFIG_FEATURE_MOUNT_LOOP_CREATE;CONFIG_FEATURE_MOUNT_LOOP_CREATE?;Boolean;false | true;;"if (d_CONFIG_FEATURE_MOUNT_LOOP_CREATE) {
d_CONFIG_FEATURE_MOUNT_LOOP = true;
}
";d___Root__
d_CONFIG_HTTPD;CONFIG_HTTPD?;Boolean;false | true;;;d___Root__
d_CONFIG_FEATURE_HTTPD_SETUID;CONFIG_FEATURE_HTTPD_SETUID?;Boolean;false | true;;"if (d_CONFIG_FEATURE_HTTPD_SETUID) {
d_CONFIG_HTTPD = true;
}
";d___Root__
d_CONFIG_FEATURE_EDITING_SAVEHISTORY;CONFIG_FEATURE_EDITING_SAVEHISTORY?;Boolean;false | true;;"if (d_CONFIG_FEATURE_EDITING_SAVEHISTORY) {
d_CONFIG_ASH = true;
}
if (d_CONFIG_FEATURE_EDITING_SAVEHISTORY) {
d_CONFIG_FEATURE_EDITING = true;
}
";d___Root__
d_CONFIG_FEATURE_EDITING;CONFIG_FEATURE_EDITING?;Boolean;false | true;;"if (d_CONFIG_FEATURE_EDITING) {
d_CONFIG_FEATURE_EDITING_HISTORY = true;
}
if (d_CONFIG_FEATURE_EDITING) {
d_CONFIG_FEATURE_EDITING_MAX_LEN = true;
}
";d___Root__
d_CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN;CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN?;Boolean;false | true;;"if (d_CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN) {
d_CONFIG_IFCONFIG = true;
}
if (d_CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN) {
d_CONFIG_ROUTE = true;
}
if (d_CONFIG_FEATURE_IFUPDOWN_IP && d_CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN) {
d_CONFIG_IFUPDOWN = true;
}
if (d_CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN) {
d_CONFIG_IFUPDOWN = true;
}
if (d_CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN) {
d_CONFIG_FEATURE_IFUPDOWN_IP = false;
}
";d___Root__
d_CONFIG_FEATURE_IFUPDOWN_IP;CONFIG_FEATURE_IFUPDOWN_IP?;Boolean;false | true;;"if (d_CONFIG_FEATURE_IFUPDOWN_IP) {
d_CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN = false;
}
if (d_CONFIG_FEATURE_IFUPDOWN_IP && d_CONFIG_FEATURE_IFUPDOWN_IFCONFIG_BUILTIN) {
d_CONFIG_IFUPDOWN = true;
}
if (d_CONFIG_FEATURE_IFUPDOWN_IP) {
d_CONFIG_IFUPDOWN = true;
}
";d___Root__
d_CONFIG_VOLUMEID;CONFIG_VOLUMEID?;Boolean;false | true;;;d___Root__
d_CONFIG_FEATURE_VOLUMEID_LUKS;CONFIG_FEATURE_VOLUMEID_LUKS?;Boolean;false | true;;"if (d_CONFIG_FEATURE_VOLUMEID_LUKS) {
d_CONFIG_VOLUMEID = true;
}
";d___Root__
d_CONFIG_FEATURE_SUID;CONFIG_FEATURE_SUID?;Boolean;false | true;;;d___Root__
d_CONFIG_IPCRM;CONFIG_IPCRM?;Boolean;false | true;;"if (d_CONFIG_IPCRM) {
d_CONFIG_FEATURE_SUID = true;
}
";d___Root__
d_CONFIG_MOUNT;CONFIG_MOUNT?;Boolean;false | true;;"if (!d_CONFIG_UMOUNT && !d_CONFIG_MOUNT) {
d_CONFIG_FEATURE_MOUNT_LOOP = false;
}
if (!d_CONFIG_UMOUNT && !d_CONFIG_MOUNT) {
d_CONFIG_FEATURE_MTAB_SUPPORT = false;
}
if (d_CONFIG_MOUNT && d_CONFIG_FEATURE_MTAB_SUPPORT) {
d_CONFIG_FEATURE_MOUNT_FAKE = true;
}
if (!d_CONFIG_MOUNT && !d_CONFIG_FEATURE_MTAB_SUPPORT) {
d_CONFIG_FEATURE_MOUNT_FAKE = false;
}
if (!d_CONFIG_MOUNT && !d_CONFIG_FEATURE_MOUNT_FAKE) {
d_CONFIG_FEATURE_MTAB_SUPPORT = false;
}
";d___Root__
d_CONFIG_FEATURE_MOUNT_FSTAB;CONFIG_FEATURE_MOUNT_FSTAB?;Boolean;false | true;;"if (d_CONFIG_FEATURE_MOUNT_FSTAB) {
d_CONFIG_MOUNT = true;
}
";d___Root__
d_CONFIG_FEATURE_CHCON_LONG_OPTIONS;CONFIG_FEATURE_CHCON_LONG_OPTIONS?;Boolean;false | true;;"if (d_CONFIG_FEATURE_CHCON_LONG_OPTIONS) {
d_CONFIG_SELINUX = true;
}
if (d_CONFIG_FEATURE_CHCON_LONG_OPTIONS) {
d_CONFIG_CHCON = true;
}
if (d_CONFIG_FEATURE_CHCON_LONG_OPTIONS) {
d_CONFIG_LONG_OPTS = true;
}
";d___Root__
d_CONFIG_LONG_OPTS;CONFIG_LONG_OPTS?;Boolean;false | true;;"if (!d_CONFIG_SELINUX && !d_CONFIG_LONG_OPTS) {
d_CONFIG_FEATURE_RUNCON_LONG_OPTIONS = false;
}
if (!d_CONFIG_SELINUX && !d_CONFIG_LONG_OPTS) {
d_CONFIG_FEATURE_CHCON_LONG_OPTIONS = false;
}
if (!d_CONFIG_CHCON && !d_CONFIG_LONG_OPTS) {
d_CONFIG_FEATURE_CHCON_LONG_OPTIONS = false;
}
if (!d_CONFIG_RUNCON && !d_CONFIG_LONG_OPTS) {
d_CONFIG_FEATURE_RUNCON_LONG_OPTIONS = false;
}
if (!d_CONFIG_LS && !d_CONFIG_LONG_OPTS) {
d_CONFIG_FEATURE_LS_COLOR = false;
}
if (!d_CONFIG_GETOPT && !d_CONFIG_LONG_OPTS) {
d_CONFIG_FEATURE_GETOPT_LONG = false;
}
";d___Root__
d_CONFIG_UDHCP_DEBUG;CONFIG_UDHCP_DEBUG?;Boolean;false | true;;;d___Root__
d_CONFIG_UDHCPD;CONFIG_UDHCPD?;Boolean;false | true;;"if (d_CONFIG_UDHCPD && d_CONFIG_UDHCPC) {
d_CONFIG_UDHCP_DEBUG = true;
}
if (d_CONFIG_UDHCPD) {
d_CONFIG_UDHCP_DEBUG = true;
}
if (d_CONFIG_UDHCPD && d_CONFIG_DHCPRELAY) {
d_CONFIG_UDHCP_DEBUG = true;
}
if (d_CONFIG_UDHCPD) {
d_CONFIG_DHCPD_LEASES_FILE = true;
}
if (d_CONFIG_UDHCPD) {
d_CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS = true;
}
if (!d_CONFIG_UDHCPD && !d_CONFIG_UDHCPC) {
d_CONFIG_FEATURE_UDHCP_PORT = false;
}
if (!d_CONFIG_DHCPRELAY && (!d_CONFIG_UDHCPD && !d_CONFIG_UDHCPC)) {
d_CONFIG_UDHCP_DEBUG = false;
}
if (!d_CONFIG_UDHCPD && !d_CONFIG_UDHCPC) {
d_CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS = false;
}
if (d_CONFIG_UDHCPD && d_CONFIG_UDHCPC) {
d_CONFIG_UDHCPC_SLACK_FOR_BUGGY_SERVERS = true;
}
if (!d_CONFIG_UDHCPD && !d_CONFIG_UDHCPC) {
d_CONFIG_FEATURE_UDHCP_RFC3397 = false;
}
";d___Root__
d_CONFIG_BUILD_LIBBUSYBOX;CONFIG_BUILD_LIBBUSYBOX?;Boolean;false | true;;"if (d_CONFIG_BUILD_LIBBUSYBOX) {
d_CONFIG_FEATURE_PREFER_APPLETS = false;
}
if (d_CONFIG_BUILD_LIBBUSYBOX) {
d_CONFIG_STATIC = false;
}
if (d_CONFIG_BUILD_LIBBUSYBOX) {
d_CONFIG_PIE = false;
}
";d___Root__
d_CONFIG_FEATURE_INDIVIDUAL;CONFIG_FEATURE_INDIVIDUAL?;Boolean;false | true;;"if (d_CONFIG_FEATURE_INDIVIDUAL) {
d_CONFIG_BUILD_LIBBUSYBOX = true;
}
";d___Root__
d_CONFIG_FEATURE_INETD_SUPPORT_BUILTIN_DAYTIME;CONFIG_FEATURE_INETD_SUPPORT_BUILTIN_DAYTIME?;Boolean;false | true;;"if (d_CONFIG_FEATURE_INETD_SUPPORT_BUILTIN_DAYTIME) {
d_CONFIG_INETD = true;
}
";d___Root__
d_CONFIG_INETD;CONFIG_INETD?;Boolean;false | true;;"if (!d_CONFIG_TELNETD && (!d_CONFIG_FEATURE_MOUNT_NFS && (!d_CONFIG_ZCIP && (!d_CONFIG_NAMEIF && (!d_CONFIG_PASSWD && (!d_CONFIG_INIT && (!d_CONFIG_SU && (!d_CONFIG_INETD && (!d_CONFIG_LOGIN && (!d_CONFIG_DEVFSD && (!d_CONFIG_CROND && (!d_CONFIG_FAKEIDENTD && (!d_CONFIG_SULOGIN && (!d_CONFIG_LOGGER && !d_CONFIG_GETTY)))))))))))))) {
d_CONFIG_FEATURE_SYSLOG = false;
}
if (d_CONFIG_INETD) {
d_CONFIG_FEATURE_SYSLOG = true;
}
";d___Root__
d_CONFIG_FEATURE_COPYBUF_KB;CONFIG_FEATURE_COPYBUF_KB?;Boolean;false | true;;;d___Root__
d_CONFIG_FEATURE_INSMOD_LOADINKMEM;CONFIG_FEATURE_INSMOD_LOADINKMEM?;Boolean;false | true;;"if (d_CONFIG_FEATURE_INSMOD_LOADINKMEM) {
d_CONFIG_FEATURE_2_4_MODULES = true;
}
";d___Root__
d_CONFIG_INSMOD;CONFIG_INSMOD?;Boolean;false | true;;"if (!d_CONFIG_LSMOD && (!d_CONFIG_RMMOD && !d_CONFIG_INSMOD)) {
d_CONFIG_FEATURE_2_4_MODULES = false;
}
if (!d_CONFIG_MODPROBE && !d_CONFIG_INSMOD) {
d_CONFIG_FEATURE_INSMOD_LOADINKMEM = false;
}
if (!d_CONFIG_MODPROBE && !d_CONFIG_INSMOD) {
d_CONFIG_FEATURE_INSMOD_VERSION_CHECKING = false;
}
if (d_CONFIG_INSMOD) {
d_CONFIG_MODPROBE_SMALL = false;
}
if (!d_CONFIG_MODPROBE && !d_CONFIG_INSMOD) {
d_CONFIG_FEATURE_INSMOD_KSYMOOPS_SYMBOLS = false;
}
if (!d_CONFIG_INSMOD && !d_CONFIG_MODPROBE_SMALL) {
d_CONFIG_FEATURE_INSMOD_TRY_MMAP = false;
}
";d___Root__
d_CONFIG_MODPROBE;CONFIG_MODPROBE?;Boolean;false | true;;"if (!d_CONFIG_MODPROBE && !d_CONFIG_INSMOD) {
d_CONFIG_FEATURE_INSMOD_LOADINKMEM = false;
}
if (!d_CONFIG_MODPROBE && !d_CONFIG_INSMOD) {
d_CONFIG_FEATURE_INSMOD_VERSION_CHECKING = false;
}
if (!d_CONFIG_DEPMOD && !d_CONFIG_MODPROBE) {
d_CONFIG_FEATURE_MODUTILS_ALIAS = false;
}
if (!d_CONFIG_MODPROBE_SMALL && (!d_CONFIG_DEPMOD && !d_CONFIG_MODPROBE)) {
d_CONFIG_DEFAULT_DEPMOD_FILE = false;
}
if (d_CONFIG_MODPROBE_SMALL && d_CONFIG_MODPROBE) {
d_CONFIG_DEFAULT_MODULES_DIR = true;
}
if (d_CONFIG_MODPROBE) {
d_CONFIG_MODPROBE_SMALL = false;
}
if (d_CONFIG_DEPMOD && d_CONFIG_MODPROBE) {
d_CONFIG_DEFAULT_DEPMOD_FILE = true;
}
if (d_CONFIG_DEPMOD && d_CONFIG_MODPROBE) {
d_CONFIG_DEFAULT_MODULES_DIR = true;
}
if (d_CONFIG_MODPROBE) {
d_CONFIG_DEFAULT_MODULES_DIR = true;
}
if (!d_CONFIG_MODPROBE_SMALL && (!d_CONFIG_DEPMOD && !d_CONFIG_MODPROBE)) {
d_CONFIG_DEFAULT_MODULES_DIR = false;
}
if (!d_CONFIG_DEPMOD && !d_CONFIG_MODPROBE) {
d_CONFIG_FEATURE_MODUTILS_SYMBOLS = false;
}
if (d_CONFIG_MODPROBE_SMALL && d_CONFIG_MODPROBE) {
d_CONFIG_DEFAULT_DEPMOD_FILE = true;
}
if (!d_CONFIG_MODPROBE && !d_CONFIG_INSMOD) {
d_CONFIG_FEATURE_INSMOD_KSYMOOPS_SYMBOLS = false;
}
if (d_CONFIG_MODPROBE) {
d_CONFIG_DEFAULT_DEPMOD_FILE = true;
}
";d___Root__
d_CONFIG_HUSH_EXPORT_N;CONFIG_HUSH_EXPORT_N?;Boolean;false | true;;"if (d_CONFIG_HUSH_EXPORT_N) {
d_CONFIG_HUSH = true;
}
";d___Root__
