ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_DellLaptops_Notebooks;DellLaptops_Notebooks?;Boolean;false | true;;"if (d_DellLaptops_Notebooks) {
d_Processor = true;
}
if (d_DellLaptops_Notebooks) {
d_LaptopWeight = true;
}
if (d_DellLaptops_Notebooks) {
d_Price = true;
}
if (d_DellLaptops_Notebooks) {
d_ProductCategory = true;
}
if (d_DellLaptops_Notebooks) {
d_OperatingSystem = true;
}
if (d_DellLaptops_Notebooks) {
d_HardDrive = true;
}
if (d_DellLaptops_Notebooks) {
d_Memory = true;
}
";true
d_ProductCategory;ProductCategory?;Boolean;false | true;;;(false && d_DellLaptops_Notebooks)
d_ProductCategory_0;Choose your ProductCategory?;Enumeration;StudioLaptops | MiniNotebooks | Adamo | XPSLaptops | InspironLaptops | StudioXPSLaptops;1:1;"if !d_ProductCategory_0.MiniNotebooks {
d_MiniNotebooks = false;
}
if !d_ProductCategory_0.Adamo {
d_Adamo = false;
}
if d_ProductCategory_0.Adamo {
d_Adamo = true;
}
if d_ProductCategory_0.XPSLaptops {
d_XPSLaptops = true;
}
if d_ProductCategory_0.StudioXPSLaptops {
d_StudioXPSLaptops = true;
}
if !d_ProductCategory_0.StudioXPSLaptops {
d_StudioXPSLaptops = false;
}
if !d_ProductCategory_0.StudioLaptops {
d_StudioLaptops = false;
}
if d_ProductCategory_0.StudioLaptops {
d_StudioLaptops = true;
}
if !d_ProductCategory_0.XPSLaptops {
d_XPSLaptops = false;
}
if d_ProductCategory_0.MiniNotebooks {
d_MiniNotebooks = true;
}
if d_ProductCategory_0.InspironLaptops {
d_InspironLaptops = true;
}
if !d_ProductCategory_0.InspironLaptops {
d_InspironLaptops = false;
}
";d_ProductCategory
d_MiniNotebooks;MiniNotebooks?;Boolean;false | true;;"if !d_MiniNotebooks {
allow(d_Processor_0.IntelPentiumDualcore);
}
if (d_MiniNotebooks) {
disAllow(d_OpticalDrive_0.BluRayDisc);
}
if (d_MiniNotebooks) {
disAllow(d_HardDrive_0.a320GB);
}
if (d_MiniNotebooks) {
disAllow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if !d_MiniNotebooks {
allow(d_OperatingSystem_0.WindowsVista64bit);
}
if !d_MiniNotebooks {
allow(d_Price_0.Morethan_1200);
}
if (d_MiniNotebooks) {
disAllow(d_Memory_0.a3GB);
}
if !d_MiniNotebooks {
allow(d_Processor_0.IntelCeleron);
}
if (d_MiniNotebooks) {
disAllow(d_OpticalDrive_0.CD_DVD_RW);
}
if !d_MiniNotebooks {
allow(d_LaptopWeight_0.DesktopReplacement);
}
if !d_MiniNotebooks {
allow(d_HardDrive_0.a500GB);
}
if !d_MiniNotebooks {
allow(d_Processor_0.IntelCore2Duo);
}
if (d_MiniNotebooks) {
disAllow(d_Price_0._800__1200);
}
if (d_MiniNotebooks) {
disAllow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if (d_MiniNotebooks) {
disAllow(d_LaptopWeight_0.DesktopReplacement);
}
if (d_MiniNotebooks) {
disAllow(d_Memory_0.Morethan4GB);
}
if (d_MiniNotebooks) {
disAllow(d_HardDrive_0.a128GBSolidState);
}
if (d_MiniNotebooks) {
disAllow(d_Memory_0.a4GB);
}
if !d_MiniNotebooks {
allow(d_HardDrive_0.a250GB);
}
if (d_MiniNotebooks) {
disAllow(d_Processor_0.IntelPentiumDualcore);
}
if !d_MiniNotebooks {
allow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if (d_MiniNotebooks) {
disAllow(d_Processor_0.IntelCeleron);
}
if !d_MiniNotebooks {
allow(d_OpticalDrive_0.BluRayDisc);
}
if (d_MiniNotebooks) {
disAllow(d_OperatingSystem_0.WindowsVista64bit);
}
if (d_MiniNotebooks) {
disAllow(d_Price_0.Morethan_1200);
}
if !d_MiniNotebooks {
allow(d_Memory_0.a3GB);
}
if !d_MiniNotebooks {
allow(d_HardDrive_0.a320GB);
}
if !d_MiniNotebooks {
allow(d_OpticalDrive_0.CD_DVD_RW);
}
if !d_MiniNotebooks {
allow(d_LaptopWeight_0.Light);
}
if !d_MiniNotebooks {
allow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if (d_MiniNotebooks) {
disAllow(d_Processor_0.IntelCore2Duo);
}
if !d_MiniNotebooks {
allow(d_Price_0._800__1200);
}
if (d_MiniNotebooks) {
disAllow(d_HardDrive_0.a250GB);
}
if (d_MiniNotebooks) {
disAllow(d_HardDrive_0.a500GB);
}
if (d_MiniNotebooks) {
disAllow(d_LaptopWeight_0.Light);
}
if !d_MiniNotebooks {
allow(d_Memory_0.Morethan4GB);
}
if !d_MiniNotebooks {
allow(d_Memory_0.a4GB);
}
if !d_MiniNotebooks {
allow(d_HardDrive_0.a128GBSolidState);
}
";false
d_InspironLaptops;InspironLaptops?;Boolean;false | true;;"if (d_InspironLaptops) {
disAllow(d_Memory_0.Morethan4GB);
}
if !d_InspironLaptops {
allow(d_OperatingSystem_0.UbuntuLinux);
}
if (d_InspironLaptops) {
disAllow(d_Memory_0.a1GB);
}
if (d_InspironLaptops) {
disAllow(d_LaptopWeight_0.DesktopReplacement);
}
if !d_InspironLaptops {
allow(d_OperatingSystem_0.WindowsVista64bit);
}
if !d_InspironLaptops {
allow(d_Price_0.Morethan_1200);
}
if !d_InspironLaptops {
allow(d_HardDrive_0.a80GB);
}
if !d_InspironLaptops {
allow(d_LaptopWeight_0.UltraLight);
}
if !d_InspironLaptops {
allow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if (d_InspironLaptops) {
disAllow(d_Processor_0.IntelAtom);
}
if !d_InspironLaptops {
allow(d_OperatingSystem_0.WindowsXPHome);
}
if (d_InspironLaptops) {
disAllow(d_HardDrive_0.a120GB);
}
if !d_InspironLaptops {
allow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if !d_InspironLaptops {
allow(d_Memory_0.Morethan4GB);
}
if (d_InspironLaptops) {
disAllow(d_OpticalDrive_0.BluRayDisc);
}
if !d_InspironLaptops {
allow(d_HardDrive_0.a128GBSolidState);
}
if (d_InspironLaptops) {
disAllow(d_OperatingSystem_0.UbuntuLinux);
}
if (d_InspironLaptops) {
disAllow(d_OperatingSystem_0.WindowsVista64bit);
}
if !d_InspironLaptops {
allow(d_Memory_0.a1GB);
}
if !d_InspironLaptops {
allow(d_LaptopWeight_0.DesktopReplacement);
}
if (d_InspironLaptops) {
disAllow(d_Price_0.Morethan_1200);
}
if (d_InspironLaptops) {
disAllow(d_HardDrive_0.a80GB);
}
if (d_InspironLaptops) {
disAllow(d_LaptopWeight_0.UltraLight);
}
if (d_InspironLaptops) {
disAllow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if (d_InspironLaptops) {
disAllow(d_OperatingSystem_0.WindowsXPHome);
}
if !d_InspironLaptops {
allow(d_HardDrive_0.a120GB);
}
if !d_InspironLaptops {
allow(d_Processor_0.IntelAtom);
}
if !d_InspironLaptops {
allow(d_OpticalDrive_0.BluRayDisc);
}
if (d_InspironLaptops) {
disAllow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if (d_InspironLaptops) {
disAllow(d_HardDrive_0.a128GBSolidState);
}
";false
d_StudioLaptops;StudioLaptops?;Boolean;false | true;;"if (d_StudioLaptops) {
disAllow(d_Memory_0.a2GB);
}
if !d_StudioLaptops {
allow(d_Memory_0.a1GB);
}
if (d_StudioLaptops) {
disAllow(d_Price_0.Morethan_1200);
}
if !d_StudioLaptops {
allow(d_Price_0.Lessthan_400);
}
if !d_StudioLaptops {
allow(d_HardDrive_0.a160GB);
}
if (d_StudioLaptops) {
disAllow(d_HardDrive_0.a80GB);
}
if (d_StudioLaptops) {
disAllow(d_Processor_0.IntelCeleron);
}
if (d_StudioLaptops) {
disAllow(d_Processor_0.IntelAtom);
}
if (d_StudioLaptops) {
disAllow(d_HardDrive_0.a120GB);
}
if !d_StudioLaptops {
allow(d_OperatingSystem_0.WindowsXPHome);
}
if !d_StudioLaptops {
allow(d_OperatingSystem_0.UbuntuLinux);
}
if !d_StudioLaptops {
allow(d_Memory_0.Morethan4GB);
}
if !d_StudioLaptops {
allow(d_HardDrive_0.a128GBSolidState);
}
if !d_StudioLaptops {
allow(d_Memory_0.a2GB);
}
if !d_StudioLaptops {
allow(d_Price_0.Morethan_1200);
}
if (d_StudioLaptops) {
disAllow(d_Memory_0.a1GB);
}
if (d_StudioLaptops) {
disAllow(d_HardDrive_0.a160GB);
}
if !d_StudioLaptops {
allow(d_HardDrive_0.a80GB);
}
if (d_StudioLaptops) {
disAllow(d_Price_0.Lessthan_400);
}
if !d_StudioLaptops {
allow(d_Processor_0.IntelCeleron);
}
if !d_StudioLaptops {
allow(d_Processor_0.IntelAtom);
}
if (d_StudioLaptops) {
disAllow(d_OperatingSystem_0.UbuntuLinux);
}
if !d_StudioLaptops {
allow(d_HardDrive_0.a120GB);
}
if (d_StudioLaptops) {
disAllow(d_OperatingSystem_0.WindowsXPHome);
}
if (d_StudioLaptops) {
disAllow(d_HardDrive_0.a128GBSolidState);
}
if (d_StudioLaptops) {
disAllow(d_Memory_0.Morethan4GB);
}
";false
d_XPSLaptops;XPSLaptops?;Boolean;false | true;;"if !d_XPSLaptops {
allow(d_OperatingSystem_0.WindowsXPHome);
}
if (d_XPSLaptops) {
disAllow(d_HardDrive_0.a120GB);
}
if (d_XPSLaptops) {
disAllow(d_HardDrive_0.a128GBSolidState);
}
if !d_XPSLaptops {
allow(d_OperatingSystem_0.UbuntuLinux);
}
if !d_XPSLaptops {
allow(d_HardDrive_0.a80GB);
}
if (d_XPSLaptops) {
disAllow(d_Price_0.Lessthan_400);
}
if (d_XPSLaptops) {
disAllow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if (d_XPSLaptops) {
disAllow(d_Processor_0.IntelPentiumDualcore);
}
if !d_XPSLaptops {
allow(d_Processor_0.IntelCeleron);
}
if !d_XPSLaptops {
allow(d_Memory_0.a1GB);
}
if (d_XPSLaptops) {
disAllow(d_Memory_0.a2GB);
}
if (d_XPSLaptops) {
disAllow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if !d_XPSLaptops {
allow(d_HardDrive_0.a160GB);
}
if !d_XPSLaptops {
allow(d_Processor_0.IntelAtom);
}
if (d_XPSLaptops) {
disAllow(d_OperatingSystem_0.WindowsXPHome);
}
if !d_XPSLaptops {
allow(d_HardDrive_0.a120GB);
}
if !d_XPSLaptops {
allow(d_HardDrive_0.a128GBSolidState);
}
if (d_XPSLaptops) {
disAllow(d_OperatingSystem_0.UbuntuLinux);
}
if !d_XPSLaptops {
allow(d_Memory_0.a2GB);
}
if !d_XPSLaptops {
allow(d_Price_0.Lessthan_400);
}
if !d_XPSLaptops {
allow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if (d_XPSLaptops) {
disAllow(d_Processor_0.IntelCeleron);
}
if (d_XPSLaptops) {
disAllow(d_HardDrive_0.a80GB);
}
if !d_XPSLaptops {
allow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if (d_XPSLaptops) {
disAllow(d_Memory_0.a1GB);
}
if !d_XPSLaptops {
allow(d_Processor_0.IntelPentiumDualcore);
}
if (d_XPSLaptops) {
disAllow(d_Processor_0.IntelAtom);
}
if (d_XPSLaptops) {
disAllow(d_HardDrive_0.a160GB);
}
";false
d_Adamo;Adamo?;Boolean;false | true;;"if !d_Adamo {
allow(d_LaptopWeight_0.DesktopReplacement);
}
if (d_Adamo) {
disAllow(d_Processor_0.IntelAtom);
}
if (d_Adamo) {
disAllow(d_LaptopWeight_0.Light);
}
if (d_Adamo) {
disAllow(d_Price_0._800__1200);
}
if !d_Adamo {
allow(d_Memory_0.Morethan4GB);
}
if !d_Adamo {
allow(d_HardDrive_0.a160GB);
}
if (d_Adamo) {
disAllow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if (d_Adamo) {
disAllow(d_OperatingSystem_0.WindowsXPHome);
}
if !d_Adamo {
allow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if !d_Adamo {
allow(d_HardDrive_0.a120GB);
}
if !d_Adamo {
allow(d_HardDrive_0.a250GB);
}
if !d_Adamo {
allow(d_Processor_0.IntelPentiumDualcore);
}
if !d_Adamo {
allow(d_Memory_0.a1GB);
}
if !d_Adamo {
allow(d_Price_0._400__800);
}
if !d_Adamo {
allow(d_HardDrive_0.a80GB);
}
if (d_Adamo) {
disAllow(d_OpticalDrive_0.BluRayDisc);
}
if !d_Adamo {
allow(d_HardDrive_0.a320GB);
}
if !d_Adamo {
allow(d_Processor_0.IntelCeleron);
}
if !d_Adamo {
allow(d_Memory_0.a3GB);
}
if (d_Adamo) {
disAllow(d_Price_0.Lessthan_400);
}
if !d_Adamo {
allow(d_OperatingSystem_0.UbuntuLinux);
}
if (d_Adamo) {
disAllow(d_OpticalDrive_0.CD_DVD_RW);
}
if !d_Adamo {
allow(d_HardDrive_0.a500GB);
}
if (d_Adamo) {
disAllow(d_LaptopWeight_0.DesktopReplacement);
}
if !d_Adamo {
allow(d_LaptopWeight_0.Light);
}
if !d_Adamo {
allow(d_Processor_0.IntelAtom);
}
if !d_Adamo {
allow(d_Price_0._800__1200);
}
if (d_Adamo) {
disAllow(d_Memory_0.Morethan4GB);
}
if (d_Adamo) {
disAllow(d_HardDrive_0.a160GB);
}
if (d_Adamo) {
disAllow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if (d_Adamo) {
disAllow(d_Processor_0.IntelPentiumDualcore);
}
if !d_Adamo {
allow(d_OperatingSystem_0.WindowsXPHome);
}
if (d_Adamo) {
disAllow(d_HardDrive_0.a250GB);
}
if (d_Adamo) {
disAllow(d_HardDrive_0.a120GB);
}
if (d_Adamo) {
disAllow(d_Memory_0.a1GB);
}
if (d_Adamo) {
disAllow(d_Price_0._400__800);
}
if !d_Adamo {
allow(d_OpticalDrive_0.BluRayDisc);
}
if !d_Adamo {
allow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if (d_Adamo) {
disAllow(d_HardDrive_0.a80GB);
}
if (d_Adamo) {
disAllow(d_HardDrive_0.a320GB);
}
if (d_Adamo) {
disAllow(d_Processor_0.IntelCeleron);
}
if (d_Adamo) {
disAllow(d_Memory_0.a3GB);
}
if !d_Adamo {
allow(d_Price_0.Lessthan_400);
}
if (d_Adamo) {
disAllow(d_HardDrive_0.a500GB);
}
if (d_Adamo) {
disAllow(d_OperatingSystem_0.UbuntuLinux);
}
if !d_Adamo {
allow(d_OpticalDrive_0.CD_DVD_RW);
}
";false
d_StudioXPSLaptops;StudioXPSLaptops?;Boolean;false | true;;"if !d_StudioXPSLaptops {
allow(d_HardDrive_0.a250GB);
}
if (d_StudioXPSLaptops) {
disAllow(d_Processor_0.IntelAtom);
}
if !d_StudioXPSLaptops {
allow(d_Price_0.Lessthan_400);
}
if (d_StudioXPSLaptops) {
disAllow(d_OperatingSystem_0.UbuntuLinux);
}
if !d_StudioXPSLaptops {
allow(d_LaptopWeight_0.DesktopReplacement);
}
if !d_StudioXPSLaptops {
allow(d_OpticalDrive_0.BluRayDisc);
}
if !d_StudioXPSLaptops {
allow(d_HardDrive_0.a80GB);
}
if !d_StudioXPSLaptops {
allow(d_Processor_0.IntelCeleron);
}
if (d_StudioXPSLaptops) {
disAllow(d_Price_0._400__800);
}
if !d_StudioXPSLaptops {
allow(d_Memory_0.a3GB);
}
if (d_StudioXPSLaptops) {
disAllow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if !d_StudioXPSLaptops {
allow(d_Price_0.Morethan_1200);
}
if !d_StudioXPSLaptops {
allow(d_Memory_0.a1GB);
}
if (d_StudioXPSLaptops) {
disAllow(d_Memory_0.a2GB);
}
if !d_StudioXPSLaptops {
allow(d_HardDrive_0.a160GB);
}
if (d_StudioXPSLaptops) {
disAllow(d_Memory_0.Morethan4GB);
}
if (d_StudioXPSLaptops) {
disAllow(d_OperatingSystem_0.WindowsXPHome);
}
if (d_StudioXPSLaptops) {
disAllow(d_HardDrive_0.a128GBSolidState);
}
if !d_StudioXPSLaptops {
allow(d_HardDrive_0.a120GB);
}
if (d_StudioXPSLaptops) {
disAllow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
if (d_StudioXPSLaptops) {
disAllow(d_Processor_0.IntelPentiumDualcore);
}
if (d_StudioXPSLaptops) {
disAllow(d_HardDrive_0.a250GB);
}
if !d_StudioXPSLaptops {
allow(d_OperatingSystem_0.UbuntuLinux);
}
if !d_StudioXPSLaptops {
allow(d_Processor_0.IntelAtom);
}
if (d_StudioXPSLaptops) {
disAllow(d_Price_0.Lessthan_400);
}
if (d_StudioXPSLaptops) {
disAllow(d_LaptopWeight_0.DesktopReplacement);
}
if (d_StudioXPSLaptops) {
disAllow(d_OpticalDrive_0.BluRayDisc);
}
if (d_StudioXPSLaptops) {
disAllow(d_Processor_0.IntelCeleron);
}
if !d_StudioXPSLaptops {
allow(d_Processor_0.IntelPentiumDualcore);
}
if !d_StudioXPSLaptops {
allow(d_Price_0._400__800);
}
if (d_StudioXPSLaptops) {
disAllow(d_HardDrive_0.a80GB);
}
if !d_StudioXPSLaptops {
allow(d_Memory_0.a2GB);
}
if (d_StudioXPSLaptops) {
disAllow(d_Memory_0.a3GB);
}
if !d_StudioXPSLaptops {
allow(d_OpticalDrive_0.DVD_ROMDriveandDVD__RW);
}
if (d_StudioXPSLaptops) {
disAllow(d_Price_0.Morethan_1200);
}
if (d_StudioXPSLaptops) {
disAllow(d_Memory_0.a1GB);
}
if (d_StudioXPSLaptops) {
disAllow(d_HardDrive_0.a160GB);
}
if !d_StudioXPSLaptops {
allow(d_HardDrive_0.a128GBSolidState);
}
if !d_StudioXPSLaptops {
allow(d_Memory_0.Morethan4GB);
}
if !d_StudioXPSLaptops {
allow(d_OperatingSystem_0.WindowsXPHome);
}
if (d_StudioXPSLaptops) {
disAllow(d_HardDrive_0.a120GB);
}
if !d_StudioXPSLaptops {
allow(d_OpticalDrive_0.DVD__RWandCD_RWCombo);
}
";false
d_OperatingSystem;OperatingSystem?;Boolean;false | true;;;(false && d_DellLaptops_Notebooks)
