ID;Question;Type;Range;Cardinality;Constraint/Rule;Visible/relevant if
d_Accessibility;Accessibility?;Boolean;false | true;;;true
d_UseTheComputerWithoutAScreen;UseTheComputerWithoutAScreen?;Boolean;false | true;;;d_Accessibility
d_HearTheTextReadAloud;HearTheTextReadAloud?;Boolean;false | true;;"if (d_HearTheTextReadAloud) {
d_HearTheTextReadAloud_1 = true;
}
";d_UseTheComputerWithoutAScreen
d_HearTheTextReadAloud_1;HearTheTextReadAloud_1?;Boolean;false | true;;;(false && d_HearTheTextReadAloud)
d_HearTheTextReadAloud_1_0;Choose your HearTheTextReadAloud_1?;Enumeration;ActivateTheNarrator | EnableAudioDescription;1:2;"if d_HearTheTextReadAloud_1_0.EnableAudioDescription {
d_EnableAudioDescription = true;
}
if d_HearTheTextReadAloud_1_0.ActivateTheNarrator {
d_ActivateTheNarrator = true;
}
";d_HearTheTextReadAloud_1
d_EnableAudioDescription;EnableAudioDescription?;Boolean;false | true;;;false
d_ActivateTheNarrator;ActivateTheNarrator?;Boolean;false | true;;;false
d_ConfigureVoiceSynthesis;ConfigureVoiceSynthesis?;Boolean;false | true;;;d_HearTheTextReadAloud
d_AdjustSchedulingLimitAndFlashingVisual;AdjustSchedulingLimitAndFlashingVisual?;Boolean;false | true;;"if !d_AdjustSchedulingLimitAndFlashingVisual {
d_AdjustSchedulingLimitAndFlashingVisual_0 = None;
}
if !d_AdjustSchedulingLimitAndFlashingVisual {
allow(d_AdjustSchedulingLimitAndFlashingVisual_0.None);
}
if (d_AdjustSchedulingLimitAndFlashingVisual) {
disAllow(d_AdjustSchedulingLimitAndFlashingVisual_0.None);
}
";d_UseTheComputerWithoutAScreen
d_AdjustSchedulingLimitAndFlashingVisual_0;Choose your AdjustSchedulingLimitAndFlashingVisual?;Enumeration;None | HowLongTheNotificationBoxesShouldRemainOpen | DisableAllUnnecessaryAnimations;1:2;"if d_AdjustSchedulingLimitAndFlashingVisual_0.DisableAllUnnecessaryAnimations {
d_DisableAllUnnecessaryAnimations = true;
}
if d_AdjustSchedulingLimitAndFlashingVisual_0.HowLongTheNotificationBoxesShouldRemainOpen {
d_HowLongTheNotificationBoxesShouldRemainOpen = true;
}
";d_AdjustSchedulingLimitAndFlashingVisual
d_HowLongTheNotificationBoxesShouldRemainOpen;HowLongTheNotificationBoxesShouldRemainOpen?;Boolean;false | true;;;false
